node1,node2,startLoc,endLoc
116,117,Queens,Queens
117,118,Queens,Brooklyn
118,78,Brooklyn,Brooklyn
118,75,Brooklyn,Brooklyn
117,119,Queens,Queens
119,120,Queens,Brooklyn
120,76,Brooklyn,Brooklyn
120,86,Brooklyn,Brooklyn
119,121,Queens,Queens
121,122,Queens,Queens
122,123,Queens,Queens
123,77,Queens,Queens
123,124,Queens,Queens
124,88,Queens,Manhattan
124,69,Queens,Bronx
122,87,Queens,Bronx
121,125,Queens,Queens
125,126,Queens,Queens
126,70,Queens,Bronx
126,127,Queens,Queens
127,128,Queens,Queens
128,81,Queens,Queens
128,89,Queens,Queens
127,66,Queens,Queens
125,129,Queens,Queens
129,130,Queens,Queens
130,131,Queens,Queens
131,132,Queens,Queens
132,133,Queens,Queens
133,134,Queens,Queens
134,73,Queens,StatenIsland
134,72,Queens,Manhattan
133,135,Queens,Queens
135,90,Queens,Brooklyn
135,136,Queens,Queens
136,74,Queens,Queens
136,137,Queens,Queens
137,85,Queens,Queens
137,80,Queens,Manhattan
132,138,Queens,Queens
138,139,Queens,Queens
139,79,Queens,Bronx
139,64,Queens,Queens
138,68,Queens,Bronx
131,65,Queens,StatenIsland
130,140,Queens,Queens
140,71,Queens,Manhattan
140,67,Queens,Queens
129,141,Queens,Queens
141,82,Queens,Brooklyn
141,142,Queens,Queens
142,83,Queens,Queens
142,84,Queens,Bronx
116,143,Queens,Queens
143,144,Queens,Queens
144,145,Queens,Queens
145,146,Queens,Queens
146,147,Queens,Queens
147,148,Queens,Queens
148,113,Queens,Brooklyn
148,112,Queens,Bronx
147,114,Queens,Manhattan
146,115,Queens,Manhattan
145,149,Queens,Queens
149,150,Queens,Queens
150,105,Queens,Queens
150,104,Queens,Queens
149,151,Queens,Queens
151,152,Queens,Queens
152,102,Queens,Brooklyn
152,103,Queens,Bronx
151,153,Queens,Queens
153,107,Queens,Queens
153,154,Queens,Queens
154,155,Queens,Queens
155,109,Queens,Queens
155,156,Queens,Queens
156,111,Queens,Brooklyn
156,106,Queens,Bronx
154,157,Queens,Queens
157,110,Queens,Manhattan
157,108,Queens,Bronx
144,158,Queens,Queens
158,159,Queens,Queens
159,160,Queens,Queens
160,161,Queens,Queens
161,162,Queens,Queens
162,163,Queens,Queens
163,164,Queens,Queens
164,165,Queens,Queens
165,101,Queens,Queens
165,166,Queens,Queens
166,167,Queens,Queens
167,25,Queens,Brooklyn
167,99,Queens,Queens
166,168,Queens,Queens
168,47,Queens,Brooklyn
168,169,Queens,Queens
169,19,Queens,Brooklyn
169,170,Queens,Queens
170,17,Queens,Queens
170,29,Queens,Manhattan
164,171,Queens,Queens
171,172,Queens,Queens
172,96,Queens,Brooklyn
172,94,Queens,Bronx
171,173,Queens,Queens
173,95,Queens,Queens
173,97,Queens,Brooklyn
163,174,Queens,Queens
174,44,Queens,Bronx
