node1,node2,startLoc,endLoc
116,117,Brooklyn,Brooklyn
117,118,Brooklyn,Brooklyn
118,119,Brooklyn,Brooklyn
119,120,Brooklyn,Brooklyn
120,121,Brooklyn,Brooklyn
121,44,Brooklyn,Brooklyn
121,45,Brooklyn,Manhattan
120,122,Brooklyn,Brooklyn
122,46,Brooklyn,Brooklyn
122,41,Brooklyn,StatenIsland
119,123,Brooklyn,Brooklyn
123,43,Brooklyn,Bronx
123,42,Brooklyn,Manhattan
118,124,Brooklyn,Brooklyn
124,125,Brooklyn,Queens
125,126,Queens,Queens
126,32,Queens,Brooklyn
126,30,Queens,Queens
125,127,Queens,Queens
127,128,Queens,Queens
128,33,Queens,Queens
128,34,Queens,Bronx
127,35,Queens,Queens
124,129,Brooklyn,Brooklyn
129,130,Brooklyn,Brooklyn
130,131,Brooklyn,Brooklyn
131,39,Brooklyn,Queens
131,40,Brooklyn,Bronx
130,132,Brooklyn,Brooklyn
132,133,Brooklyn,Brooklyn
133,36,Brooklyn,Brooklyn
133,38,Brooklyn,Bronx
132,37,Brooklyn,Queens
129,31,Brooklyn,Queens
117,134,Brooklyn,Brooklyn
134,135,Brooklyn,Brooklyn
135,136,Brooklyn,Brooklyn
136,2,Brooklyn,Manhattan
136,137,Brooklyn,Brooklyn
137,138,Brooklyn,Brooklyn
138,5,Brooklyn,Manhattan
138,1,Brooklyn,Brooklyn
137,6,Brooklyn,StatenIsland
135,139,Brooklyn,Brooklyn
139,7,Brooklyn,Queens
139,140,Brooklyn,Bronx
140,4,Bronx,Bronx
140,3,Bronx,Bronx
134,141,Brooklyn,Brooklyn
141,142,Brooklyn,Brooklyn
142,143,Brooklyn,Bronx
143,8,Bronx,Bronx
143,144,Bronx,Bronx
144,13,Bronx,Bronx
144,12,Bronx,Bronx
142,145,Brooklyn,Brooklyn
145,146,Brooklyn,Brooklyn
146,147,Brooklyn,Brooklyn
147,148,Brooklyn,Queens
148,19,Queens,Queens
148,14,Queens,Queens
147,10,Brooklyn,Queens
146,149,Brooklyn,Brooklyn
149,150,Brooklyn,Brooklyn
150,9,Brooklyn,Brooklyn
150,151,Brooklyn,Brooklyn
151,20,Brooklyn,StatenIsland
151,152,Brooklyn,Brooklyn
152,17,Brooklyn,Brooklyn
152,18,Brooklyn,Bronx
149,153,Brooklyn,Brooklyn
153,154,Brooklyn,Manhattan
154,25,Manhattan,Manhattan
154,155,Manhattan,Manhattan
155,21,Manhattan,Manhattan
155,29,Manhattan,Manhattan
153,156,Brooklyn,Brooklyn
156,27,Brooklyn,StatenIsland
156,28,Brooklyn,Brooklyn
145,157,Brooklyn,Brooklyn
157,23,Brooklyn,Brooklyn
157,22,Brooklyn,Brooklyn
141,158,Brooklyn,Brooklyn
158,159,Brooklyn,Brooklyn
159,16,Brooklyn,Bronx
159,160,Brooklyn,Brooklyn
160,15,Brooklyn,Brooklyn
160,161,Brooklyn,Queens
161,11,Queens,Queens
161,24,Queens,Queens
158,26,Brooklyn,Bronx
116,162,Brooklyn,Brooklyn
162,163,Brooklyn,Brooklyn
163,164,Brooklyn,Brooklyn
164,165,Brooklyn,Brooklyn
165,52,Brooklyn,Bronx
165,50,Brooklyn,Brooklyn
164,166,Brooklyn,Queens
166,51,Queens,Queens
166,53,Queens,Queens
163,167,Brooklyn,Brooklyn
167,168,Brooklyn,Brooklyn
168,169,Brooklyn,Brooklyn
169,170,Brooklyn,Brooklyn
170,171,Brooklyn,Brooklyn
171,81,Brooklyn,Queens
171,102,Brooklyn,Brooklyn
170,172,Brooklyn,Brooklyn
172,90,Brooklyn,Brooklyn
172,173,Brooklyn,Brooklyn
173,105,Brooklyn,Brooklyn
173,106,Brooklyn,Brooklyn
169,174,Brooklyn,Brooklyn
174,175,Brooklyn,Brooklyn
175,176,Brooklyn,Brooklyn
176,65,Brooklyn,Queens
176,177,Brooklyn,Brooklyn
177,78,Brooklyn,Brooklyn
177,107,Brooklyn,Brooklyn
175,178,Brooklyn,Brooklyn
178,82,Brooklyn,StatenIsland
178,79,Brooklyn,Manhattan
174,67,Brooklyn,Queens
168,179,Brooklyn,Brooklyn
179,180,Brooklyn,Brooklyn
180,181,Brooklyn,Brooklyn
181,182,Brooklyn,Brooklyn
182,183,Brooklyn,Brooklyn
183,184,Brooklyn,Brooklyn
184,56,Brooklyn,Bronx
184,62,Brooklyn,Queens
183,185,Brooklyn,Manhattan
185,186,Manhattan,Manhattan
186,104,Manhattan,Manhattan
186,115,Manhattan,Manhattan
185,187,Manhattan,Manhattan
187,55,Manhattan,Manhattan
187,108,Manhattan,Manhattan
182,83,Brooklyn,Brooklyn
181,188,Brooklyn,Brooklyn
188,189,Brooklyn,Brooklyn
189,190,Brooklyn,Brooklyn
190,70,Brooklyn,Queens
190,112,Brooklyn,Brooklyn
189,191,Brooklyn,Brooklyn
191,110,Brooklyn,Bronx
191,103,Brooklyn,Brooklyn
188,192,Brooklyn,Brooklyn
192,193,Brooklyn,Brooklyn
193,61,Brooklyn,Bronx
193,111,Brooklyn,Bronx
192,194,Brooklyn,Brooklyn
194,71,Brooklyn,Queens
194,84,Brooklyn,Bronx
180,54,Brooklyn,Queens
179,195,Brooklyn,Brooklyn
195,58,Brooklyn,Queens
195,196,Brooklyn,Brooklyn
196,197,Brooklyn,Brooklyn
197,91,Brooklyn,Brooklyn
197,89,Brooklyn,Manhattan
196,198,Brooklyn,Brooklyn
198,47,Brooklyn,Brooklyn
198,48,Brooklyn,Manhattan
167,199,Brooklyn,Brooklyn
199,200,Brooklyn,Brooklyn
200,201,Brooklyn,Brooklyn
201,202,Brooklyn,Brooklyn
202,98,Brooklyn,Brooklyn
202,203,Brooklyn,Brooklyn
203,87,Brooklyn,Bronx
203,80,Brooklyn,Brooklyn
201,114,Brooklyn,Manhattan
200,204,Brooklyn,Brooklyn
204,113,Brooklyn,Bronx
204,205,Brooklyn,Brooklyn
205,206,Brooklyn,Brooklyn
206,86,Brooklyn,Manhattan
206,207,Brooklyn,Brooklyn
207,97,Brooklyn,Brooklyn
207,109,Brooklyn,Brooklyn
205,68,Brooklyn,Bronx
199,208,Brooklyn,Brooklyn
208,209,Brooklyn,Brooklyn
209,210,Brooklyn,Brooklyn
210,100,Brooklyn,Bronx
210,101,Brooklyn,Brooklyn
209,92,Brooklyn,Brooklyn
208,211,Brooklyn,Brooklyn
211,85,Brooklyn,Brooklyn
211,212,Brooklyn,Brooklyn
212,213,Brooklyn,Brooklyn
213,95,Brooklyn,Bronx
213,214,Brooklyn,Brooklyn
214,94,Brooklyn,Bronx
214,93,Brooklyn,Manhattan
212,96,Brooklyn,Bronx
162,215,Brooklyn,Queens
215,216,Queens,Queens
216,217,Queens,Queens
217,57,Queens,Queens
217,63,Queens,Queens
216,218,Queens,Queens
218,69,Queens,Queens
218,66,Queens,Queens
215,219,Queens,Queens
219,220,Queens,Queens
220,49,Queens,Queens
220,221,Queens,Queens
221,77,Queens,Queens
221,76,Queens,Queens
219,222,Queens,Queens
222,223,Queens,Queens
223,224,Queens,Queens
224,72,Queens,Queens
224,225,Queens,Queens
225,73,Queens,Bronx
225,226,Queens,Queens
226,75,Queens,Queens
226,74,Queens,Queens
223,227,Queens,Queens
227,59,Queens,Queens
227,228,Queens,Queens
228,88,Queens,Queens
228,64,Queens,Queens
222,229,Queens,Queens
229,99,Queens,Brooklyn
229,60,Queens,Queens
